station_naptan,naptan_id,ics_code,name,zone,lat,lon,modes
940GZZLUTBC,4900ZZLUTBC1,1000233,Tooting Bec Station,3,51.43549,-0.15946,tube
940GZZLUTBY,4900ZZLUTBY1,1000234,Tooting Broadway Station,3,51.42793,-0.16809,tube
940GZZLUTCR,4900ZZLUTCR3,1000235,Tottenham Court Road,1,51.51625,-0.13062,tube
,HUBTCR,1000235,Tottenham Court Road,1,51.516018,-0.130888,elizabeth-line;tube
,HUBTOM,1000236,Tottenham Hale,3,51.588315,-0.06024,bus;national-rail;tube
940GZZLUTMH,9400ZZLUTMH,1000236,Tottenham Hale Underground Station,3,51.588108,-0.060241,tube
940GZZLUTAW,4900ZZLUTAW1,1000237,Totteridge & Whetstone Station,4,51.63018,-0.17928,tube
,HUBTOG,1002076,Tower Gateway,1,51.510621,-0.074813,bus;dlr
940GZZDLTWG,4900ZZDLTWG1,1002076,Tower Gateway Station,1,51.5103,-0.07482,dlr
940GZZLUTWH,4900ZZLUTWH1,1000238,Tower Hill,1,51.5102,-0.07681,tube
930GTMP,4900TMP0,1002077,Tower Pier.,,51.50775,-0.07923,river-bus
940GZZLUTFP,4900ZZLUTFP1,1000239,Tufnell Park Station,2,51.55672,-0.13816,tube
940GZZLUTNG,4900ZZLUTNG1,1000240,Turnham Green Station,2+3,51.49538,-0.25521,tube
940GZZLUTPN,4900ZZLUTPN1,1000241,Turnpike Lane Station,3,51.59048,-0.1029,tube
,HUBUPM,1000242,Upminster,6,51.558659,0.250855,bus;national-rail;overground;tube
940GZZLUUPB,4900ZZLUUPB1,1000243,Upminster Bridge Station,6,51.55901,0.23587,tube
940GZZLUUPM,9400ZZLUUPM,1000242,Upminster Underground Station,6,51.559063,0.250882,tube
940GZZLUUPY,4900ZZLUUPY1,1000244,Upney Station,4,51.53849,0.10156,tube
940GZZLUUPK,4900ZZLUUPK1,1000245,Upton Park Station,3,51.53548,0.03521,tube
940GZZLUUXB,4900ZZLUUXB1,1000246,Uxbridge Station,6,51.54605,-0.47922,tube
940GZZLUVXL,4900ZZLUVXL1,1000247,Vauxhall,1+2,51.48631,-0.12458,tube
,HUBVXH,1000247,Vauxhall,1+2,51.485739,-0.123303,bus;national-rail;tube
930GSGW,4900SGW0,1002100,Vauxhall St. George Wharf Pier,,51.48614,-0.12669,river-bus
,HUBVIC,1000248,Victoria,1,51.495812,-0.143826,bus;national-rail;tube
940GZZLUVIC,4900ZZLUVIC6,1000248,Victoria Station,1,51.49555,-0.14197,tube
940GZZCRWAD,9400ZZCRWAD,1002078,Waddon Marsh Tram Stop,,51.377076,-0.118016,tram
,HUBWHC,1000249,Walthamstow Central,3,51.582948,-0.019842,bus;overground;tube
940GZZLUWWL,9400ZZLUWWL,1000249,Walthamstow Central Underground Station,3,51.582965,-0.019885,tube
940GZZCRWAN,9400ZZCRWAN,1002079,Wandle Park Tram Stop,,51.373403,-0.113282,tram
930GWRQ,9300WRQ1,1002032,Wandsworth Riverside Quarter Pier.,,51.462842,-0.198923,river-bus
940GZZLUWSD,4900ZZLUWSD1,1000250,Wanstead Station,4,51.57559,0.02832,tube
940GZZLUWRR,4900ZZLUWRR1,1000252,Warren Street Stn / Tottenham Court Rd,1,51.52457,-0.13799,tube
940GZZLUWKA,4900ZZLUWKA1,1000253,Warwick Avenue Station,2,51.52336,-0.18366,tube
,HUBWAT,1000254,Waterloo,1,51.504269,-0.113356,bus;national-rail;tube
940GZZLUWLO,9400ZZLUWLO,1000254,Waterloo Underground Station,1,51.503299,-0.11478,tube
940GZZLUWAF,2100ZZLUWAF0,1000255,Watford Underground Station,7,51.657531,-0.417157,tube
940GZZCRWEL,4900ZZCRWEL0,1002081,Wellesley Road,,51.37547,-0.09748,tram
,HUBWMB,1000256,Wembley Central,4,51.55232,-0.296642,bus;national-rail;overground;tube
940GZZLUWYC,9400ZZLUWYC,1000256,Wembley Central Underground Station,4,51.552304,-0.296852,tube
940GZZLUWYP,4900ZZLUWYP1,1000257,Wembley Park Station,4,51.56326,-0.2792,tube
940GZZLUWTA,4900ZZLUWTA1,1000258,West Acton Station,3,51.51789,-0.28108,tube
,HUBWBP,1000260,West Brompton,2,51.487168,-0.195593,bus;national-rail;overground;tube
940GZZLUWBN,9400ZZLUWBN,1000260,West Brompton Underground Station,2,51.487268,-0.195599,tube
940GZZCRWCR,4900ZZCRWCR1,1002082,West Croydon,,51.37894,-0.10173,tram
,HUBWCY,1001324,West Croydon,,51.378786,-0.101939,bus;national-rail;overground;tram
940GZZLUWFN,4900ZZLUWFN1,1000261,West Finchley Station,4,51.60958,-0.18863,tube
,HUBWEH,1000262,West Ham,2/3,51.528178,0.004997,bus;dlr;national-rail;tube
940GZZDLWHM,9400ZZDLWHM,1000262,West Ham DLR Station,2/3,51.527894,0.004482,dlr
940GZZLUWHM,9400ZZLUWHM,1000262,West Ham Underground Station,2/3,51.528136,0.005055,tube
,HUBWHD,1000263,West Hampstead,2,51.547533,-0.191357,bus;national-rail;overground;tube
940GZZLUWHP,4900ZZLUWHP1,1000263,West Hampstead Station,2,51.54677,-0.19102,tube
940GZZLUWHW,4900ZZLUWHW1,1000264,West Harrow Station,5,51.58015,-0.35312,tube
940GZZDLWIQ,4900ZZDLWIQ1,1002084,West India Quay,2,51.50744,-0.02051,dlr
940GZZLUWKN,4900ZZLUWKN1,1000265,West Kensington Station,2,51.4907,-0.20686,tube
,HUBWRU,1000267,West Ruislip,6,51.569721,-0.437816,bus;national-rail;tube
940GZZLUWRP,9400ZZLUWRP,1000267,West Ruislip Underground Station,6,51.569688,-0.437886,tube
940GZZDLWSV,4900ZZDLWSV1,1002098,West Silvertown Station,3,51.50285,0.02275,dlr
940GZZLUWSP,4900ZZLUWSP1,1000259,Westbourne Park Station,2,51.5209,-0.20067,tube
940GZZDLWFE,4900ZZDLWFE1,1002083,Westferry Station,2,51.50942,-0.02661,dlr
,HUBWSM,1000266,Westminster,1,51.501603,-0.125984,bus;tube
930GWMR,4900WMR0,1002085,Westminster Pier.,,51.50156,-0.12361,river-bus
940GZZLUWSM,4900ZZLUWSM1,1000266,Westminster Station,1,51.50125,-0.12377,tube
940GZZLUWCY,4900ZZLUWCY1,1000269,White City Station,2,51.51196,-0.22474,tube
,HUBZWL,1000268,Whitechapel,2,51.519498,-0.059858,bus;elizabeth-line;overground;tube
940GZZLUWPL,9400ZZLUWPL,1000268,Whitechapel Underground Station,2,51.519518,-0.059971,tube
,9400ZZLUWPL3,,Whitechapel Underground Station,,51.519715,-0.05992,tube
,9400ZZLUWPL4,,Whitechapel Underground Station,,51.519659,-0.05985,tube
940GZZLUWIG,4900ZZLUWIG1,1000270,Willesden Green Station,2+3,51.54924,-0.22094,tube
,HUBWIJ,1000271,Willesden Junction,2+3,51.532556,-0.243006,bus;overground;tube
940GZZLUWJN,9400ZZLUWJN,1000271,Willesden Junction Underground Station,2+3,51.532259,-0.244283,tube
